BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2457596.27174350	0.957757	0.002550	1.493107	493.878402	2457596.265648	811256.429844	525.328488	506.852661	5.817838
2457596.27313247	0.955682	0.002520	1.484742	495.436813	2457596.267037	815282.128232	525.95021	506.25744	5.768857
2457596.27453345	0.959053	0.002650	1.476511	521.273403	2457596.268438	808628.378544	525.954598	505.846432	6.065084
2457596.27592143	0.954950	0.002619	1.468547	525.574235	2457596.269826	809068.810767	526.380193	506.052499	5.904387
2457596.27732241	0.960424	0.002554	1.460712	509.096394	2457596.271227	811943.207332	525.685131	505.952775	5.713874
2457596.27871139	0.960403	0.002587	1.453132	518.4685	2457596.272616	810523.362374	526.267537	505.50629	5.746282
2457596.28011136	0.961391	0.002576	1.445676	509.766018	2457596.274016	814235.030047	525.743943	505.510341	5.746929
2457596.28151234	0.961086	0.002559	1.438404	513.317663	2457596.275417	818981.828576	525.554456	505.156741	5.720556
2457596.28290132	0.965510	0.002604	1.431370	486.639477	2457596.276806	824117.148101	525.9957	504.874361	5.985204
2457596.28430130	0.966071	0.002624	1.424454	469.579169	2457596.278206	823686.901101	525.578728	504.765426	6.13589
2457596.28569028	0.963397	0.002623	1.417766	461.495384	2457596.279595	829322.158825	525.716528	504.551769	6.205574
2457596.28709025	0.955867	0.002525	1.411191	456.594463	2457596.280995	826913.162699	526.039776	504.196672	6.083007
2457596.28847923	0.966949	0.002583	1.404835	450.975986	2457596.282384	825933.928703	524.990858	503.593959	6.15163
2457596.28988021	0.966190	0.002514	1.398588	452.279944	2457596.283785	830608.469835	524.688803	503.256771	5.937478
2457596.29128019	0.968281	0.002460	1.392502	448.788852	2457596.285185	832742.714453	524.738655	502.633469	5.777016
2457596.29266916	0.963465	0.002471	1.386621	442.887872	2457596.286574	839823.116094	524.561761	503.382933	5.860591
2457596.29407014	0.963988	0.002435	1.380845	439.110943	2457596.287975	833678.547776	525.886542	503.114078	5.76181
2457596.29545812	0.962716	0.002403	1.375267	428.38405	2457596.289363	835908.643726	525.25653	503.204542	5.688609
2457596.29685910	0.962814	0.002416	1.369790	421.453085	2457596.290764	835222.411609	524.809805	503.066112	5.713482
2457596.29824808	0.964729	0.002418	1.364503	419.719757	2457596.292153	836305.104867	524.170495	502.902441	5.815182
2457596.29964805	0.960877	0.002357	1.359315	417.967179	2457596.293553	840664.890617	523.861357	502.851181	5.552669
2457596.30103703	0.959463	0.002318	1.354310	415.722389	2457596.294942	840236.990119	523.62905	503.146904	5.498036
2457596.30243801	0.965762	0.002351	1.349402	414.246994	2457596.296343	842176.772761	523.722259	502.93832	5.564369
2457596.30382599	0.961049	0.002398	1.344670	408.221319	2457596.297731	842887.316158	523.076377	502.840249	5.844131
2457596.30522696	0.962204	0.002393	1.340032	402.795619	2457596.299132	842438.294371	522.831043	503.210103	5.896589
2457596.30661594	0.967304	0.002455	1.335564	406.034874	2457596.300521	840335.106592	522.253662	503.22958	6.031928
2457596.30801592	0.967143	0.002404	1.331189	402.63104	2457596.301921	844999.502424	521.872016	503.599752	5.842878
2457596.30941690	0.966064	0.002368	1.326943	397.501992	2457596.303322	849204.886657	522.126013	503.771888	5.751663
2457596.31081687	0.968470	0.002370	1.322823	399.089252	2457596.304722	846456.796139	521.187289	504.092938	5.72012
2457596.31220585	0.968412	0.002338	1.318862	398.692384	2457596.306111	846049.988814	520.562965	504.068668	5.570345
2457596.31360683	0.969143	0.002458	1.314990	402.422085	2457596.307512	846146.153054	519.228393	503.965963	6.005652
2457596.31499481	0.967722	0.002296	1.311271	398.130028	2457596.3089	847172.854314	519.114991	504.499962	5.388694
