BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2457480.49303513	1.008626	0.002699	1.126361	294.506646	2457480.488542	354302.643012	578.116645	524.227039	5.453425
2457480.49443508	1.008373	0.002681	1.130041	293.459621	2457480.489942	352334.744114	577.434237	523.846476	5.291754
2457480.49583604	1.009931	0.002542	1.133789	286.853781	2457480.491343	381545.325562	576.750169	523.463712	5.388258
2457480.49722399	1.011703	0.002617	1.137576	287.344625	2457480.492731	379918.367324	575.959603	523.249665	5.632055
2457480.49862495	1.008360	0.002793	1.141464	296.430925	2457480.494132	351804.521494	575.239802	523.012302	5.651187
2457480.50001390	1.007069	0.002525	1.145391	283.91712	2457480.495521	398892.065374	574.520864	522.543779	5.708086
2457480.50141385	1.003064	0.002392	1.149422	272.361591	2457480.496921	429421.340684	573.950975	522.245014	5.739353
2457480.50280281	1.002404	0.002264	1.153493	267.216115	2457480.49831	462519.860502	573.171061	521.844325	5.676271
2457480.50420376	0.995059	0.002213	1.157671	262.691604	2457480.499711	482689.403366	572.734367	521.469426	5.821831
2457480.50559272	0.996525	0.002133	1.161888	259.585417	2457480.5011	489382.400372	571.962616	521.419052	5.553389
2457480.50699267	0.991466	0.002139	1.166217	260.489386	2457480.5025	491766.016244	571.12334	521.295806	5.751834
2457480.50838163	0.988533	0.002179	1.170585	265.499423	2457480.503889	481216.997398	570.047316	520.996224	5.66854
2457480.50978158	0.988260	0.002220	1.175068	269.563964	2457480.505289	458093.217764	569.587557	520.652476	5.379159
2457480.51117054	0.990790	0.002253	1.179593	271.103628	2457480.506678	452043.321354	568.956647	520.462515	5.455189
2457480.51257149	0.986773	0.002252	1.184234	274.534306	2457480.508079	450118.4017	568.073841	520.545066	5.533132
2457480.51397144	0.988361	0.002259	1.188957	272.062675	2457480.509479	456591.218907	566.93356	520.034997	5.513239
2457480.51536040	0.982889	0.002119	1.193723	268.018666	2457480.510868	485324.367629	565.957556	519.563673	5.184709
2457480.51676135	0.981061	0.002084	1.198611	264.496886	2457480.512269	501118.564498	565.271749	519.52165	5.168727
2457480.51814931	0.979246	0.002056	1.203543	267.019701	2457480.513657	503053.195238	564.482343	519.079514	5.063939
2457480.51955026	0.982774	0.002081	1.208601	267.638803	2457480.515058	500269.786926	563.875836	518.865243	5.25897
2457480.52093922	0.979177	0.002087	1.213704	265.747568	2457480.516447	495975.085718	563.245309	518.510598	5.350032
2457480.52233917	0.983465	0.002130	1.218938	266.32911	2457480.517847	485001.610009	562.455603	517.923485	5.384024
2457480.52374012	0.983366	0.002239	1.224261	271.414027	2457480.519248	463300.73903	561.67535	517.80834	5.729118
2457480.52512908	0.985710	0.002159	1.229631	268.71003	2457480.520637	489146.508484	560.813373	517.163287	5.596259
2457480.52651703	0.987237	0.002080	1.235091	267.444039	2457480.522025	495552.079527	560.285424	516.646833	5.167786
2457480.52791799	0.987890	0.002206	1.240691	274.756886	2457480.523426	478244.750481	559.85779	516.299883	5.689679
2457480.52930694	0.986062	0.002318	1.246338	278.618408	2457480.524815	458621.373954	559.236291	516.123777	5.996592
2457480.53070690	0.988880	0.002311	1.252129	281.377534	2457480.526215	441939.333527	558.712198	515.830293	5.446229
2457480.53209585	0.989309	0.002352	1.257970	286.782822	2457480.527604	412339.589454	558.072577	515.115343	5.125205
2457480.53349680	0.988212	0.002544	1.263958	300.997983	2457480.529005	382878.829721	557.399971	515.029758	5.257959
2457480.53489676	0.991318	0.002471	1.270048	299.404747	2457480.530405	396646.582874	556.942758	514.688849	5.280249
2457480.53628571	0.990963	0.002377	1.276190	290.312652	2457480.531794	418494.000131	556.347525	513.902539	5.261183
2457480.53768567	0.987848	0.002619	1.282487	308.273852	2457480.533194	369542.788719	555.724165	513.321902	5.455222
2457480.53907462	0.988277	0.002725	1.288837	312.203082	2457480.534583	358030.385715	555.153048	512.90673	5.459148
2457480.54047557	0.985922	0.003499	1.295348	348.922927	2457480.535984	264093.447854	554.198619	512.621114	5.514403
2457480.54186453	0.987836	0.003711	1.301914	354.784624	2457480.537373	240592.616692	553.653633	512.448044	5.31331
2457480.54326448	0.982236	0.002879	1.308646	322.338535	2457480.538773	322439.805315	552.911879	511.893227	5.290617
2457480.54465344	0.983710	0.002597	1.315434	304.896582	2457480.540162	365562.285121	552.374468	511.301664	5.290276
2457480.54605339	0.982544	0.002576	1.322394	297.752652	2457480.541562	374702.236386	551.785282	510.64457	5.31785
2457480.54744235	0.981035	0.002533	1.329413	293.346891	2457480.542951	394720.767579	551.290232	510.296141	5.506538
2457480.54884330	0.978472	0.002542	1.336610	293.670346	2457480.544352	391898.007039	550.864726	509.575902	5.443764
2457480.55023225	0.979238	0.002466	1.343867	289.002553	2457480.545741	404683.928388	550.299138	509.115591	5.331814
2457480.55163221	0.981724	0.002408	1.351308	286.944525	2457480.547141	402914.81327	549.867856	508.542952	5.157608
2457480.55302116	0.979332	0.002268	1.358812	276.434588	2457480.54853	435041.135202	549.371308	508.021142	5.006705
2457480.55442212	0.978167	0.002258	1.366507	275.329052	2457480.549931	445320.409675	549.022233	507.337672	5.132238
2457480.55581007	0.977078	0.002368	1.374267	282.106105	2457480.551319	423484.558926	548.646209	506.693903	5.265142
2457480.55721103	0.974486	0.002432	1.382223	286.289784	2457480.55272	408513.961924	548.416449	505.784468	5.344969
2457480.55861098	0.980685	0.002381	1.390316	279.89715	2457480.55412	426281.730951	548.123785	505.228599	5.334278
2457480.55999993	0.978565	0.002335	1.398477	275.561055	2457480.555509	422805.311076	547.812322	504.587162	5.202258
2457480.56140089	0.988825	0.002307	1.406846	274.696674	2457480.55691	431250.135361	547.556778	504.145555	5.074195
2457480.56278984	0.985990	0.002297	1.415288	273.348958	2457480.558299	438723.481572	547.227516	503.128865	5.119229
2457480.56418979	0.992912	0.002453	1.423944	278.64985	2457480.559699	408004.903215	547.08024	502.35945	5.259161
2457480.56557875	0.990795	0.002395	1.432676	274.484223	2457480.561088	415841.081659	546.710071	501.624136	5.321997
2457480.56697870	0.990636	0.002340	1.441631	273.50724	2457480.562488	434217.037761	546.377241	501.450269	5.433
2457480.56836766	0.987279	0.002332	1.450665	272.390276	2457480.563877	432004.9372	546.037161	500.820539	5.200583
2457480.56976861	0.992336	0.002322	1.459930	269.267442	2457480.565278	440210.356128	546.247169	500.150469	5.41123
2457480.57115756	0.992489	0.002314	1.469277	271.758961	2457480.566667	433631.587874	546.248676	499.61974	5.234376
2457480.57255752	0.993360	0.002430	1.478864	275.576264	2457480.568067	421718.600811	546.464159	498.900838	5.681939
2457480.57394647	0.989244	0.002396	1.488537	272.149851	2457480.569456	433309.046467	546.444663	498.149591	5.774782
2457480.57534643	0.988892	0.002392	1.498460	274.611248	2457480.570856	433255.362794	546.354759	497.677277	5.818612
2457480.57673538	0.993054	0.002365	1.508471	272.235021	2457480.572245	434324.539974	546.028559	496.963387	5.676488
2457480.57813634	0.990471	0.002360	1.518742	276.074826	2457480.573646	429039.581935	546.020048	496.065273	5.344487
2457480.57952529	0.987975	0.002185	1.529107	265.601296	2457480.575035	468482.918121	546.313918	495.424771	5.273768
