BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2457669.39012987	0.998698	0.002104	2.645386	687.306723	2457669.384097	1059908.389401	513.814006	514.623316	4.574315
2457669.39153082	0.996710	0.002125	2.604607	685.273913	2457669.385498	1064741.560837	513.811301	515.140375	4.615084
2457669.39293077	0.996968	0.002094	2.565091	683.955466	2457669.386898	1061556.69487	513.890543	515.422143	4.520358
2457669.39431971	0.997095	0.002073	2.527097	694.116279	2457669.388287	1057045.216502	514.275434	515.792367	4.355877
2457669.39571966	0.996715	0.002088	2.489939	692.669725	2457669.389687	1055298.727534	514.55341	515.763454	4.405684
2457669.39710861	0.995687	0.002125	2.454185	696.008299	2457669.391076	1051187.822502	514.970458	516.171945	4.551098
2457669.39850955	0.995044	0.002141	2.419193	692.546296	2457669.392477	1047119.896553	514.817584	516.326455	4.612389
2457669.39990950	0.997912	0.002146	2.385222	697.105263	2457669.393877	1041282.866168	514.703371	516.627938	4.695498
2457669.40129845	0.995893	0.002162	2.352500	697.147541	2457669.395266	1044688.632864	514.81607	516.508136	4.700717
2457669.40269939	0.995349	0.002162	2.320442	694.47479	2457669.396667	1043679.497527	515.078933	516.56909	4.744774
2457669.40408834	0.997765	0.002141	2.289543	695.52459	2457669.398056	1036833.773663	514.474004	516.903509	4.717852
2457669.40548828	0.996963	0.002157	2.259253	699.995495	2457669.399456	1030641.528631	514.791463	516.788178	4.700775
2457669.40687723	0.994896	0.002141	2.230039	697.304527	2457669.400845	1032767.562891	514.745762	516.969615	4.645886
2457669.40827718	0.996910	0.002173	2.201383	692.80543	2457669.402245	1025721.969084	514.654004	517.001401	4.782668
2457669.40966613	0.995033	0.002204	2.173729	695.021459	2457669.403634	1028013.783948	514.544325	517.209103	4.878141
2457669.41106707	0.992523	0.002136	2.146589	695.481172	2457669.405035	1028429.566624	515.021081	517.034763	4.597587
2457669.41245602	0.997939	0.002131	2.120383	693.494024	2457669.406424	1031955.596631	514.712029	517.08208	4.522576
2457669.41385596	0.992702	0.002152	2.094650	696.350649	2457669.407824	1026086.326372	514.226334	517.254574	4.668256
2457669.41525691	0.989058	0.002131	2.069586	695.156863	2457669.409225	1029236.240915	514.405437	517.463821	4.606764
2457669.41665686	0.992312	0.002104	2.045168	692.017021	2457669.410625	1029332.510051	513.870135	517.437466	4.451599
2457669.41804580	0.984881	0.002141	2.021566	690.939271	2457669.412014	1024927.351493	513.781469	517.384018	4.699574
2457669.41944575	0.980187	0.002189	1.998368	686.160784	2457669.413414	1027932.476621	513.50424	517.302613	4.945139
2457669.42083470	0.978183	0.002178	1.975935	680.8640	2457669.414803	1030045.84303	513.285282	517.438018	4.980462
2457669.42223564	0.975604	0.002136	1.953874	681.278884	2457669.416204	1030182.01665	513.03504	517.507704	4.840846
2457669.42362459	0.979781	0.002215	1.932533	679.254808	2457669.417593	1028666.506796	512.977854	517.474958	5.003886
2457669.42502454	0.973574	0.002162	1.911536	680.618677	2457669.418993	1037328.360574	512.650222	517.53242	4.877853
2457669.42642548	0.976021	0.002162	1.891048	680.383673	2457669.420394	1038051.179855	512.550089	517.830176	4.793349
2457669.42781343	0.971064	0.002162	1.871216	677.536585	2457669.421782	1037702.774078	513.163915	518.219948	4.866492
2457669.42921437	0.969075	0.002131	1.851693	676.271111	2457669.423183	1038936.443553	512.936094	518.412428	4.74218
2457669.43060332	0.969766	0.002131	1.832786	669.266129	2457669.424572	1040480.8926	513.266231	518.653561	4.717003
2457669.43200327	0.966175	0.002178	1.814168	673.246637	2457669.425972	1034396.206057	513.241807	518.578164	4.868325
2457669.43339221	0.970362	0.002157	1.796131	667.051502	2457669.427361	1028219.087025	513.730803	518.799544	4.818563
2457669.43479316	0.962557	0.002252	1.778363	670.772908	2457669.428762	1022383.769877	513.331866	519.004107	5.243622
2457669.43619310	0.964793	0.002284	1.761002	668.793991	2457669.430162	1019289.046972	513.272175	518.827054	5.285832
2457669.43758205	0.968131	0.002262	1.744175	665.47451	2457669.431551	1021122.961565	513.364499	518.752735	5.316044
2457669.43898200	0.963807	0.002215	1.727590	663.7500	2457669.432951	1029302.315096	513.693046	518.917725	5.07142
2457669.44037094	0.966185	0.002262	1.711510	664.432558	2457669.43434	1022109.58242	513.80494	519.287968	5.209868
2457669.44177189	0.968158	0.002257	1.695656	662.381743	2457669.435741	1024963.231911	513.594604	519.189692	5.193313
